loan_id,cust_id,loan_purpose,loan_type,sanction_amount,loan_amount,processing_fee,gst,net_disbursement,loan_tenure_months,principal_outstanding,bank_balance_at_application,disbursal_date,installment_start_dt,default
L06695,C06695,Home,Secured,2298000,1618000,32360.0,291240,1294400,37,352003,317639,2020-03-25,2020-04-04,False
L06696,C06696,Home,Secured,12640000,11978000,239560.0,2156040,9582400,40,1750004,1505532,2020-03-25,2020-04-21,False
L06697,C06697,Auto,Secured,8233000,6278000,125560.0,1130040,5022400,26,4520159,2230086,2020-03-25,2020-04-09,False
L06698,C06698,Home,Secured,3376000,3364000,67280.0,605520,2691200,43,905209,441527,2020-03-25,2020-04-10,True
L06699,C06699,Personal,Unsecured,672000,505000,10100.0,90900,404000,23,311464,242684,2020-03-25,2020-04-01,False
L06700,C06700,Auto,Secured,408000,373000,7460.0,67140,298400,22,152994,67649,2020-03-25,2020-04-01,False
L06701,C06701,Auto,Secured,1084000,905000,18100.0,162900,724000,22,592407,443440,2020-03-25,2020-03-28,False
L06702,C06702,Personal,Unsecured,5000000,3601000,72020.0,648180,2880800,7,2592719,3094921,2020-03-25,2020-04-22,False
L06703,C06703,Home,Secured,2278000,2108000,42160.0,379440,1686400,26,267081,245494,2020-03-25,2020-04-04,False
L06704,C06704,Personal,Unsecured,1127000,848000,16960.0,152640,678400,11,557111,427601,2020-03-25,2020-04-23,False
L06705,C06705,Education,Secured,4646000,4388000,87760.0,789840,3510400,36,1596123,724809,2020-03-25,2020-04-16,False
L06706,C06706,Personal,Unsecured,3046000,2930000,58600.0,527400,2344000,21,1577687,1055942,2020-03-25,2020-04-17,False
L06707,C06707,Auto,Secured,2318000,1965000,39300.0,353700,1572000,29,863624,589141,2020-03-25,2020-04-04,False
L06708,C06708,Home,Secured,2133000,2000000,40000.0,360000,1600000,39,387754,231163,2020-03-25,2020-03-26,False
L06709,C06709,Personal,Unsecured,5000000,4138000,82760.0,744840,3310400,20,2979359,4931545,2020-03-25,2020-04-17,False
L06710,C06710,Personal,Unsecured,5000000,3768000,75360.0,678240,3014400,14,2712959,3303677,2020-03-25,2020-04-20,False
L06711,C06711,Home,Secured,7916000,6293000,125860.0,1132740,5034400,37,1510253,781200,2020-03-25,2020-04-01,False
L06712,C06712,Home,Secured,3614000,2538000,50760.0,456840,2030400,40,917125,496324,2020-03-25,2020-04-22,False
L06713,C06713,Personal,Unsecured,1532000,1118000,22360.0,201240,894400,6,804959,1033924,2020-03-25,2020-03-27,False
L06714,C06714,Personal,Unsecured,474000,343000,6860.0,61740,274400,11,246959,316527,2020-03-25,2020-04-01,False
L06715,C06715,Auto,Secured,4563000,3614000,72280.0,650520,2891200,33,1104060,1080771,2020-03-25,2020-04-18,False
L06716,C06716,Personal,Unsecured,2250000,2022000,40440.0,363960,1617600,23,1455839,1496158,2020-03-25,2020-04-07,False
L06717,C06717,Personal,Unsecured,923000,770000,15400.0,138600,616000,12,554399,491034,2020-03-25,2020-04-03,False
L06718,C06718,Home,Secured,11072000,9616000,192320.0,1730880,7692800,47,1418873,1399324,2020-03-25,2020-04-23,False
L06719,C06719,Education,Secured,1445000,1164000,23280.0,209520,931200,50,791177,329960,2020-03-25,2020-04-03,False
L06720,C06720,Home,Secured,2546000,2303000,46060.0,414540,1842400,29,562273,194122,2020-03-25,2020-04-02,False
L06721,C06721,Personal,Unsecured,4034000,3178000,63560.0,572040,2542400,11,2288159,3414762,2020-03-25,2020-04-06,False
L06722,C06722,Home,Secured,11043000,7969000,159380.0,1434420,6375200,28,2262005,1376800,2020-03-25,2020-04-08,False
L06723,C06723,Personaal,Unsecured,686000,679000,13580.0,122220,543200,23,488879,246366,2020-03-26,2020-04-03,False
L06724,C06724,Auto,Secured,6170000,5350000,107000.0,963000,4280000,23,1625592,2020261,2020-03-26,2020-04-21,True
L06725,C06725,Home,Secured,8583000,6597000,131940.0,1187460,5277600,28,1016563,612724,2020-03-26,2020-04-11,True
L06726,C06726,Auto,Secured,5419000,4180000,83600.0,752400,3344000,33,2895756,1558688,2020-03-26,2020-04-07,False
L06727,C06727,Education,Secured,13134000,10448000,208960.0,1880640,8358400,20,2974713,2233638,2020-03-26,2020-04-10,False
L06728,C06728,Home,Secured,2183000,1964000,39280.0,353520,1571200,47,379030,199469,2020-03-26,2020-04-18,False
L06729,C06729,Home,Secured,10853000,7994000,159880.0,1438920,6395200,26,1275477,884097,2020-03-26,2020-04-02,True
L06730,C06730,Personal,Unsecured,489000,429000,8580.0,77220,343200,19,308879,234431,2020-03-26,2020-04-17,False
L06731,C06731,Personal,Unsecured,1558000,1099000,21980.0,197820,879200,19,791279,750246,2020-03-26,2020-04-18,False
L06732,C06732,Personal,Unsecured,1001000,942000,18840.0,169560,753600,11,502367,261275,2020-03-26,2020-04-07,False
L06733,C06733,Auto,Secured,1188000,941000,18820.0,169380,752800,23,608511,316508,2020-03-26,2020-04-18,False
L06734,C06734,Home,Secured,36429000,32850000,657000.0,5913000,26280000,31,4090297,2372416,2020-03-26,2020-03-27,True
L06735,C06735,Auto,Secured,2784000,2006000,40120.0,361080,1604800,23,1349302,1093316,2020-03-26,2020-04-02,False
L06736,C06736,Education,Secured,2383000,1707000,34140.0,307260,1365600,57,779774,667205,2020-03-26,2020-04-09,False
L06737,C06737,Home,Secured,4204000,3206000,64120.0,577080,2564800,43,810616,708169,2020-03-26,2020-04-11,False
L06738,C06738,Education,Secured,1832000,1591000,31820.0,286380,1272800,36,672528,358114,2020-03-26,2020-04-06,False
L06739,C06739,Personal,Unsecured,591000,578000,11560.0,104040,462400,11,416159,376223,2020-03-26,2020-04-23,False
L06740,C06740,Education,Secured,824000,739000,14780.0,133020,591200,31,174663,259970,2020-03-26,2020-04-11,False
L06741,C06741,Personal,Unsecured,1586000,1527000,30540.0,274860,1221600,19,609730,742001,2020-03-26,2020-04-10,False
L06742,C06742,Personal,Unsecured,3149000,2919000,58380.0,525420,2335200,16,2009606,837340,2020-03-26,2020-04-23,False
L06743,C06743,Home,Secured,2621000,2419000,48380.0,435420,1935200,24,351877,158577,2020-03-26,2020-04-18,False
L06744,C06744,Auto,Secured,1286000,1032000,20640.0,185760,825600,20,378403,244833,2020-03-26,2020-04-11,False
L06745,C06745,Auto,Secured,9430000,8051000,161020.0,1449180,6440800,35,2804667,2043437,2020-03-26,2020-04-14,False
L06746,C06746,Auto,Secured,8593000,8466000,169320.0,1523880,6772800,22,3933710,1670679,2020-03-26,2020-03-30,False
L06747,C06747,Personaal,Unsecured,5000000,4339000,86780.0,781020,3471200,23,3124079,4411933,2020-03-26,2020-04-23,False
L06748,C06748,Auto,Secured,232000,198000,3960.0,35640,158400,33,108679,100969,2020-03-26,2020-04-03,False
L06749,C06749,Home,Secured,2486000,1963000,39260.0,353340,1570400,32,304311,140832,2020-03-26,2020-03-30,True
L06750,C06750,Personal,Unsecured,2701000,2420000,48400.0,435600,1936000,15,1742399,1322790,2020-03-27,2020-04-18,False
L06751,C06751,Home,Secured,1766000,1621000,32420.0,291780,1296800,48,299609,332460,2020-03-27,2020-04-19,False
L06752,C06752,Auto,Secured,303000,248000,4960.0,44640,198400,16,139331,92376,2020-03-27,2020-04-22,False
L06753,C06753,Education,Secured,3581000,3233000,64660.0,581940,2586400,49,1124276,602735,2020-03-27,2020-04-14,False
L06754,C06754,Personal,Unsecured,2470000,2267000,45340.0,408060,1813600,17,1632239,575234,2020-03-27,2020-04-03,False
L06755,C06755,Personal,Unsecured,696000,642000,12840.0,115560,513600,23,327687,237442,2020-03-27,2020-04-20,False
L06756,C06756,Auto,Secured,271000,198000,3960.0,35640,158400,14,72685,46710,2020-03-27,2020-04-02,False
L06757,C06757,Auto,Secured,709000,539000,10780.0,97020,431200,20,292480,247717,2020-03-27,2020-04-11,False
L06758,C06758,Home,Secured,2975000,2133000,42660.0,383940,1706400,26,650875,438311,2020-03-27,2020-04-22,False
L06759,C06759,Auto,Secured,4231000,3714000,74280.0,668520,2971200,33,2674079,1258278,2020-03-27,2020-04-18,False
L06760,C06760,Education,Secured,6028000,4902000,98040.0,882360,3921600,30,2168732,1521675,2020-03-27,2020-03-28,False
L06761,C06761,Home,Secured,2251000,2148000,42960.0,386640,1718400,45,497357,179069,2020-03-27,2020-04-16,False
L06762,C06762,Auto,Secured,1547000,1120000,22400.0,201600,896000,18,705011,631503,2020-03-27,2020-04-06,False
L06763,C06763,Home,Secured,6506000,4699000,93980.0,845820,3759200,33,1040267,434755,2020-03-27,2020-03-29,False
L06764,C06764,Personal,Unsecured,797000,621000,12420.0,111780,496800,6,447119,481956,2020-03-27,2020-04-09,False
L06765,C06765,Auto,Secured,324000,286000,5720.0,51480,228800,20,94584,82827,2020-03-27,2020-04-15,False
L06766,C06766,Home,Secured,2024000,1639000,32780.0,295020,1311200,43,372975,257526,2020-03-27,2020-04-03,True
L06767,C06767,Auto,Secured,3629000,3598000,71960.0,647640,2878400,20,2041450,1101570,2020-03-27,2020-04-16,False
L06768,C06768,Personal,Unsecured,1529000,1328000,26560.0,239040,1062400,11,956159,370393,2020-03-27,2020-04-06,False
L06769,C06769,Home,Secured,2904000,2163000,43260.0,389340,1730400,27,616326,361616,2020-03-27,2020-04-21,False
L06770,C06770,Auto,Secured,5640000,4415000,88300.0,794700,3532000,18,2474881,2176003,2020-03-27,2020-04-20,False
L06771,C06771,Home,Secured,6618000,6078000,121560.0,1094040,4862400,26,935777,470804,2020-03-27,2020-04-08,True
L06772,C06772,Auto,Secured,165000,159000,3180.0,28620,127200,32,83467,33053,2020-03-27,2020-04-06,False
L06773,C06773,Personal,Unsecured,3256000,2606000,52120.0,469080,2084800,18,1132359,1061844,2020-03-27,2020-04-06,False
L06774,C06774,Home,Secured,7095000,6547000,130940.0,1178460,5237600,29,1015375,917401,2020-03-27,2020-04-25,False
L06775,C06775,Education,Secured,2748000,2032000,40640.0,365760,1625600,13,601456,450700,2020-03-27,2020-04-13,False
L06776,C06776,Education,Secured,1109000,1074000,21480.0,193320,859200,57,468066,299801,2020-03-27,2020-04-14,False
L06777,C06777,Education,Secured,463000,346000,6920.0,62280,276800,15,175270,127584,2020-03-27,2020-04-20,False
L06778,C06778,Education,Secured,6446000,4748000,94960.0,854640,3798400,43,2349941,1212147,2020-03-28,2020-04-04,False
L06779,C06779,Personal,Unsecured,200000,161000,3220.0,28980,128800,7,115919,74342,2020-03-28,2020-04-14,False
L06780,C06780,Personal,Unsecured,900000,871000,17420.0,156780,696800,21,605299,391186,2020-03-28,2020-04-17,False
L06781,C06781,Home,Secured,5260000,4738000,94760.0,852840,3790400,33,1238081,916182,2020-03-28,2020-04-16,False
L06782,C06782,Home,Secured,3044000,2501000,50020.0,450180,2000800,29,487660,322498,2020-03-28,2020-04-15,True
L06783,C06783,Personal,Unsecured,1283000,1178000,23560.0,212040,942400,8,848159,441599,2020-03-28,2020-04-06,False
L06784,C06784,Personal,Unsecured,587000,467000,9340.0,84060,373600,19,327662,214437,2020-03-28,2020-04-14,False
L06785,C06785,Personal,Unsecured,861000,736000,14720.0,132480,588800,11,529919,460062,2020-03-28,2020-03-29,False
L06786,C06786,Personal,Unsecured,3449000,2427000,48540.0,436860,1941600,9,1626112,1089435,2020-03-28,2020-04-01,False
L06787,C06787,Education,Secured,2463000,1940000,38800.0,349200,1552000,25,1151277,680112,2020-03-28,2020-04-17,False
L06788,C06788,Home,Secured,4568000,4409000,88180.0,793620,3527200,42,619231,534277,2020-03-28,2020-04-24,False
L06789,C06789,Auto,Secured,2808000,2424000,48480.0,436320,1939200,29,842800,721659,2020-03-28,2020-04-08,True
L06790,C06790,Personal,Unsecured,938000,744000,14880.0,133920,595200,23,535679,368927,2020-03-28,2020-04-27,False
L06791,C06791,Personal,Unsecured,2105000,2013000,40260.0,362340,1610400,11,1296714,971975,2020-03-28,2020-04-23,False
L06792,C06792,Auto,Secured,2842000,2149000,42980.0,386820,1719200,21,1188758,1107867,2020-03-28,2020-04-02,False
L06793,C06793,Home,Secured,5418000,4864000,97280.0,875520,3891200,30,906651,655069,2020-03-28,2020-04-22,False
L06794,C06794,Auto,Secured,3480000,2821000,56420.0,507780,2256800,17,1310280,663406,2020-03-28,2020-04-10,False
L06795,C06795,Personal,Unsecured,2776000,2052000,41040.0,369360,1641600,17,1477439,1038367,2020-03-28,2020-04-20,False
L06796,C06796,Home,Secured,15572000,11450000,229000.0,2061000,9160000,37,2972840,1977341,2020-03-28,2020-04-12,False
L06797,C06797,Home,Secured,6755000,6161000,123220.0,1108980,4928800,41,1594363,671981,2020-03-28,2020-04-21,False
L06798,C06798,Personal,Unsecured,569000,528000,10560.0,95040,422400,21,380159,393683,2020-03-28,2020-04-19,False
L06799,C06799,Personal,Unsecured,1514000,1156000,23120.0,208080,924800,21,832319,789156,2020-03-28,2020-04-21,False
L06800,C06800,Home,Secured,1263000,1191000,23820.0,214380,952800,34,292546,98265,2020-03-28,2020-04-11,False
L06801,C06801,Personal,Unsecured,826000,818000,16360.0,147240,654400,13,457564,377368,2020-03-28,2020-04-21,False
L06802,C06802,Personal,Unsecured,5000000,4903000,98060.0,882540,3922400,7,3530159,3722225,2020-03-28,2020-04-20,False
L06803,C06803,Personal,Unsecured,2692000,2211000,44220.0,397980,1768800,18,1312175,760799,2020-03-28,2020-04-13,False
L06804,C06804,Home,Secured,2703000,2578000,51560.0,464040,2062400,34,526886,514279,2020-03-28,2020-04-17,False
L06805,C06805,Auto,Secured,513000,496000,9920.0,89280,396800,19,209927,99146,2020-03-29,2020-04-02,False
L06806,C06806,Auto,Secured,319000,317000,6340.0,57060,253600,20,113858,81364,2020-03-29,2020-04-22,True
L06807,C06807,Personal,Unsecured,2307000,2098000,41960.0,377640,1678400,11,1146320,704846,2020-03-29,2020-04-13,False
L06808,C06808,Auto,Secured,1625000,1256000,25120.0,226080,1004800,19,831569,430960,2020-03-29,2020-04-18,False
L06809,C06809,Education,Secured,1410000,1038000,20760.0,186840,830400,31,389425,375587,2020-03-29,2020-04-13,False
L06810,C06810,Personal,Unsecured,893000,851000,17020.0,153180,680800,18,373079,185670,2020-03-29,2020-04-19,False
L06811,C06811,Personal,Unsecured,5000000,4218000,84360.0,759240,3374400,13,3036959,5725037,2020-03-29,2020-04-21,False
L06812,C06812,Personal,Unsecured,1441000,1070000,21400.0,192600,856000,9,683507,464806,2020-03-29,2020-04-19,False
L06813,C06813,Personal,Unsecured,3362000,2630000,52600.0,473400,2104000,15,1893599,1703875,2020-03-29,2020-04-26,False
L06814,C06814,Personal,Unsecured,302000,266000,5320.0,47880,212800,15,152755,90443,2020-03-29,2020-04-22,False
L06815,C06815,Personal,Unsecured,2451000,1907000,38140.0,343260,1525600,18,1023575,1065156,2020-03-29,2020-03-30,False
L06816,C06816,Education,Secured,5500000,4080000,81600.0,734400,3264000,52,1531683,1042263,2020-03-29,2020-04-10,False
L06817,C06817,Personal,Unsecured,1258000,1109000,22180.0,199620,887200,23,546016,503156,2020-03-29,2020-03-31,False
L06818,C06818,Personal,Unsecured,2246000,1979000,39580.0,356220,1583200,15,1187467,785854,2020-03-29,2020-04-22,False
L06819,C06819,Auto,Secured,1394000,1134000,22680.0,204120,907200,16,674792,271297,2020-03-29,2020-04-08,False
L06820,C06820,Personal,Unsecured,860000,714000,14280.0,128520,571200,16,485242,456639,2020-03-29,2020-04-22,False
L06821,C06821,Personal,Unsecured,2475000,2369000,47380.0,426420,1895200,10,1705679,1137126,2020-03-29,2020-04-26,False
L06822,C06822,Personal,Unsecured,2077000,2045000,40900.0,368100,1636000,9,1472399,1381086,2020-03-29,2020-04-12,False
L06823,C06823,Education,Secured,3910000,3049000,60980.0,548820,2439200,22,989736,544378,2020-03-29,2020-03-30,False
L06824,C06824,Personal,Unsecured,124000,116000,2320.0,20880,92800,15,83519,60240,2020-03-29,2020-04-28,False
L06825,C06825,Auto,Secured,3111000,2832000,56640.0,509760,2265600,32,1824007,1361604,2020-03-29,2020-04-13,False
L06826,C06826,Personal,Unsecured,2909000,2768000,55360.0,498240,2214400,7,1992959,1357524,2020-03-29,2020-04-13,False
L06827,C06827,Home,Secured,16640000,12296000,245920.0,2213280,9836800,27,2043359,1556220,2020-03-29,2020-04-02,False
L06828,C06828,Home,Secured,32600000,24749000,494980.0,4454820,19799200,34,5000000,5682390,2020-03-29,2020-04-25,False
L06829,C06829,Personal,Unsecured,1691000,1607000,32140.0,289260,1285600,10,1157039,974551,2020-03-29,2020-04-10,False
L06830,C06830,Home,Secured,8667000,6531000,130620.0,1175580,5224800,45,1221825,955506,2020-03-29,2020-04-20,False
L06831,C06831,Auto,Secured,7883000,5518000,110360.0,993240,4414400,12,3972959,2816288,2020-03-29,2020-04-22,False
L06832,C06832,Education,Secured,12151000,10157000,203140.0,1828260,8125600,45,4282053,1624693,2020-03-30,2020-04-28,False
L06833,C06833,Personal,Unsecured,592000,454000,9080.0,81720,363200,13,326879,183208,2020-03-30,2020-04-29,False
L06834,C06834,Auto,Secured,215000,158000,3160.0,28440,126400,30,113759,53163,2020-03-30,2020-04-02,False
L06835,C06835,Personal,Unsecured,5000000,4519000,90380.0,813420,3615200,21,3253679,2528318,2020-03-30,2020-04-11,False
L06836,C06836,Home,Secured,383000,381000,7620.0,68580,304800,35,61369,23956,2020-03-30,2020-04-01,True
L06837,C06837,Auto,Secured,514000,449000,8980.0,80820,359200,18,273082,137395,2020-03-30,2020-03-31,False
L06838,C06838,Auto,Secured,312000,254000,5080.0,45720,203200,16,90768,57496,2020-03-30,2020-04-08,False
L06839,C06839,Home,Secured,4769000,4330000,86600.0,779400,3464000,34,686846,782669,2020-03-30,2020-04-20,True
L06840,C06840,Personal,Unsecured,774000,674000,13480.0,121320,539200,7,485279,480101,2020-03-30,2020-04-13,False
L06841,C06841,Personal,Unsecured,3161000,2896000,57920.0,521280,2316800,6,2085119,1321252,2020-03-30,2020-04-22,False
L06842,C06842,Personal,Unsecured,1520000,1419000,28380.0,255420,1135200,14,741679,523219,2020-03-30,2020-04-24,False
L06843,C06843,Home,Secured,6755000,5697000,113940.0,1025460,4557600,42,1716159,629568,2020-03-30,2020-04-03,False
L06844,C06844,Home,Secured,11622000,8235000,164700.0,1482300,6588000,30,2063211,1197612,2020-03-30,2020-04-12,False
L06845,C06845,Personal,Unsecured,1524000,1352000,27040.0,243360,1081600,23,973439,802955,2020-03-30,2020-04-13,False
L06846,C06846,Personal,Unsecured,1414000,1286000,25720.0,231480,1028800,22,925919,502527,2020-03-30,2020-04-27,False
L06847,C06847,Education,Secured,4298000,3753000,75060.0,675540,3002400,26,1361086,1253778,2020-03-30,2020-04-10,False
L06848,C06848,Auto,Secured,1396000,1096000,21920.0,197280,876800,32,611335,682682,2020-03-30,2020-04-02,False
L06849,C06849,Auto,Secured,10000000,7315000,146300.0,1316700,5852000,17,5000000,2755501,2020-03-30,2020-04-06,False
L06850,C06850,Home,Secured,6118000,4730000,94600.0,851400,3784000,30,902324,426995,2020-03-30,2020-04-26,False
L06851,C06851,Personal,Unsecured,2736000,2372000,47440.0,426960,1897600,12,1214851,1422365,2020-03-30,2020-04-22,False
L06852,C06852,Home,Secured,4790000,3581000,71620.0,644580,2864800,45,857618,668183,2020-03-30,2020-04-27,False
L06853,C06853,Auto,Secured,2261000,2119000,42380.0,381420,1695200,35,1070548,814377,2020-03-30,2020-04-27,False
L06854,C06854,Home,Secured,10651000,7849000,156980.0,1412820,6279200,39,1411815,1610825,2020-03-30,2020-04-23,False
L06855,C06855,Personal,Unsecured,1059000,744000,14880.0,133920,595200,17,535679,503794,2020-03-30,2020-04-26,False
L06856,C06856,Home,Secured,1298000,1192000,23840.0,214560,953600,42,308164,160006,2020-03-30,2020-04-16,False
L06857,C06857,Home,Secured,7729000,7300000,146000.0,1314000,5840000,25,1452626,1189317,2020-03-30,2020-04-24,True
L06858,C06858,Personal,Unsecured,387000,351000,7020.0,63180,280800,11,234221,143751,2020-03-30,2020-04-26,False
L06859,C06859,Personal,Unsecured,768000,660000,13200.0,118800,528000,20,475199,320814,2020-03-30,2020-04-15,False
L06860,C06860,Personal,Unsecured,465000,423000,8460.0,76140,338400,14,304559,250810,2020-03-31,2020-04-16,False
L06861,C06861,Personal,Unsecured,802000,799000,15980.0,143820,639200,7,408745,356028,2020-03-31,2020-04-25,False
L06862,C06862,Personal,Unsecured,1455000,1178000,23560.0,212040,942400,7,848159,995144,2020-03-31,2020-04-06,False
L06863,C06863,Auto,Secured,792000,712000,14240.0,128160,569600,24,512639,204372,2020-03-31,2020-04-04,False
L06864,C06864,Auto,Secured,613000,551000,11020.0,99180,440800,20,347246,217837,2020-03-31,2020-04-18,False
L06865,C06865,Personal,Unsecured,2296000,2086000,41720.0,375480,1668800,6,1261322,857396,2020-03-31,2020-04-26,False
L06866,C06866,Home,Secured,1620000,1451000,29020.0,261180,1160800,39,369102,197425,2020-03-31,2020-04-17,False
L06867,C06867,Personal,Unsecured,341000,250000,5000.0,45000,200000,12,179999,185876,2020-03-31,2020-04-18,False
L06868,C06868,Home,Secured,5077000,3757000,75140.0,676260,3005600,43,830164,698966,2020-03-31,2020-04-09,False
L06869,C06869,Education,Secured,2946000,2876000,57520.0,517680,2300800,30,811078,582726,2020-03-31,2020-04-05,False
L06870,C06870,Personal,Unsecured,2318000,2315000,46300.0,416700,1852000,14,1265539,887917,2020-03-31,2020-04-03,False
L06871,C06871,Personal,Unsecured,122000,108000,2160.0,19440,86400,8,77759,46778,2020-03-31,2020-04-28,False
L06872,C06872,Personal,Unsecured,1924000,1900000,38000.0,342000,1520000,7,1114886,1121593,2020-03-31,2020-04-27,False
L06873,C06873,Education,Secured,900000,686000,13720.0,123480,548800,46,217364,152707,2020-03-31,2020-04-27,False
L06874,C06874,Education,Secured,6659000,6600000,132000.0,1188000,5280000,16,2104106,1433979,2020-03-31,2020-04-21,False
L06875,C06875,Home,Secured,11202000,9095000,181900.0,1637100,7276000,41,1431801,1239883,2020-03-31,2020-04-30,False
L06876,C06876,Education,Secured,1211000,941000,18820.0,169380,752800,37,335057,285566,2020-03-31,2020-04-17,False
L06877,C06877,Auto,Secured,3667000,2957000,59140.0,532260,2365600,31,1748050,1194382,2020-03-31,2020-04-28,False
L06878,C06878,Home,Secured,8642000,7659000,153180.0,1378620,6127200,31,1026929,715877,2020-03-31,2020-04-09,False
L06879,C06879,Personal,Unsecured,1119000,1006000,20120.0,181080,804800,8,724319,707881,2020-03-31,2020-04-16,False
L06880,C06880,Education,Secured,3498000,3332000,66640.0,599760,2665600,17,683269,998943,2020-03-31,2020-04-23,False
L06881,C06881,Personal,Unsecured,478000,401000,8020.0,72180,320800,19,288719,177356,2020-03-31,2020-04-25,False
L06882,C06882,Home,Secured,7621000,7442000,148840.0,1339560,5953600,28,1383964,721863,2020-03-31,2020-04-16,False
L06883,C06883,Personal,Unsecured,4386000,4265000,85300.0,767700,3412000,9,2545818,2273371,2020-03-31,2020-04-27,False
L06884,C06884,Personal,Unsecured,1194000,1123000,22460.0,202140,898400,21,808559,607795,2020-03-31,2020-04-21,False
L06885,C06885,Home,Secured,6127000,5535000,110700.0,996300,4428000,37,990443,797562,2020-03-31,2020-04-03,False
L06886,C06886,Personal,Unsecured,3711000,2948000,58960.0,530640,2358400,15,2035222,1414164,2020-03-31,2020-04-25,False
L06887,C06887,Personal,Unsecured,261000,253000,5060.0,45540,202400,14,137624,83920,2020-04-01,2020-04-15,False
L06888,C06888,Auto,Secured,353000,301000,6020.0,54180,240800,13,216719,182590,2020-04-01,2020-04-07,False
L06889,C06889,Auto,Secured,10000000,8377000,167540.0,1507860,6701600,16,4200587,2774388,2020-04-01,2020-04-07,False
L06890,C06890,Home,Secured,12125000,9375000,187500.0,1687500,7500000,40,2007585,1226294,2020-04-01,2020-04-14,True
L06891,C06891,Home,Secured,1833000,1538000,30760.0,276840,1230400,33,398114,151210,2020-04-01,2020-04-29,False
L06892,C06892,Auto,Secured,3980000,3027000,60540.0,544860,2421600,15,2179439,1046653,2020-04-01,2020-04-02,False
L06893,C06893,Home,Secured,1553000,1171000,23420.0,210780,936800,32,164897,170520,2020-04-01,2020-04-06,False
L06894,C06894,Home,Secured,1179000,1171000,23420.0,210780,936800,39,223872,135734,2020-04-01,2020-04-12,False
L06895,C06895,Home,Secured,1509000,1446000,28920.0,260280,1156800,43,216569,151278,2020-04-01,2020-04-13,False
L06896,C06896,Personal,Unsecured,807000,776000,15520.0,139680,620800,17,450974,432409,2020-04-01,2020-04-22,False
L06897,C06897,Personal,Unsecured,4714000,4442000,88840.0,799560,3553600,23,2020526,2050841,2020-04-01,2020-04-29,False
L06898,C06898,Personal,Unsecured,929000,834000,16680.0,150120,667200,19,390721,352883,2020-04-01,2020-04-24,False
L06899,C06899,Home,Secured,5207000,4623000,92460.0,832140,3698400,24,1064028,550851,2020-04-01,2020-04-03,False
L06900,C06900,Home,Secured,29192000,22303000,446060.0,4014540,17842400,48,3021485,2936828,2020-04-01,2020-04-10,False
L06901,C06901,Home,Secured,3379000,2417000,48340.0,435060,1933600,28,554650,333255,2020-04-01,2020-04-28,False
L06902,C06902,Education,Secured,3624000,2570000,51400.0,462600,2056000,44,1334807,562478,2020-04-01,2020-04-05,False
L06903,C06903,Home,Secured,22168000,17207000,344140.0,3097260,13765600,32,3524138,3194524,2020-04-01,2020-04-29,True
L06904,C06904,Personal,Unsecured,702000,521000,10420.0,93780,416800,6,366243,301581,2020-04-01,2020-04-02,False
L06905,C06905,Personal,Unsecured,431000,309000,6180.0,55620,247200,23,222479,198077,2020-04-01,2020-04-08,False
L06906,C06906,Home,Secured,2358000,1761000,35220.0,316980,1408800,37,350402,465462,2020-04-01,2020-04-13,False
L06907,C06907,Home,Secured,10428000,8348000,166960.0,1502640,6678400,31,1514490,982696,2020-04-01,2020-04-27,False
L06908,C06908,Education,Secured,1042000,948000,18960.0,170640,758400,44,391968,214667,2020-04-01,2020-04-18,False
L06909,C06909,Auto,Secured,1323000,1047000,20940.0,188460,837600,30,504404,283894,2020-04-01,2020-04-30,False
L06910,C06910,Home,Secured,486000,346000,6920.0,62280,276800,32,64093,34050,2020-04-01,2020-04-16,False
L06911,C06911,Personal,Unsecured,1174000,994000,19880.0,178920,795200,11,521625,373261,2020-04-01,2020-04-23,False
L06912,C06912,Home,Secured,969000,870000,17400.0,156600,696000,35,236510,97981,2020-04-01,2020-04-16,False
L06913,C06913,Personal,Unsecured,2182000,1584000,31680.0,285120,1267200,22,1140479,787500,2020-04-01,2020-04-22,False
L06914,C06914,Home,Secured,11837000,10808000,216160.0,1945440,8646400,29,2102217,2143474,2020-04-01,2020-04-30,False
L06915,C06915,Home,Secured,808000,777000,15540.0,139860,621600,32,184764,82968,2020-04-02,2020-04-27,False
L06916,C06916,Education,Secured,2960000,2692000,53840.0,484560,2153600,50,795226,511466,2020-04-02,2020-04-17,False
L06917,C06917,Personal,Unsecured,347000,339000,6780.0,61020,271200,11,168858,70181,2020-04-02,2020-04-13,False
L06918,C06918,Auto,Secured,4581000,4512000,90240.0,812160,3609600,34,3070144,1392253,2020-04-02,2020-04-23,False
L06919,C06919,Personal,Unsecured,1904000,1582000,31640.0,284760,1265600,19,1139039,1043116,2020-04-02,2020-05-02,False
L06920,C06920,Auto,Secured,2030000,1873000,37460.0,337140,1498400,27,823324,533127,2020-04-02,2020-04-09,False
L06921,C06921,Personal,Unsecured,2790000,2698000,53960.0,485640,2158400,7,1842669,1222670,2020-04-02,2020-04-28,True
L06922,C06922,Education,Secured,829000,636000,12720.0,114480,508800,35,209744,138071,2020-04-02,2020-04-15,False
L06923,C06923,Home,Secured,10740000,9013000,180260.0,1622340,7210400,46,1573899,1597121,2020-04-02,2020-04-11,False
L06924,C06924,Home,Secured,22325000,17323000,346460.0,3118140,13858400,27,3261173,2408973,2020-04-02,2020-04-17,True
